Sender,Receiver,Weight
3,32,1.0
3,45,1.0
3,56,1.0
3,63,3.0
3,101,5.0
3,300,1.0
3,362,1.0
3,407,12.0
3,452,3.0
3,538,10.0
3,573,10.0
3,672,19.0
3,724,20.0
3,743,4.0
3,763,1.0
3,854,1.0
3,909,7.0
3,942,2.0
3,970,20.0
3,972,1.0
4,77,140.0
4,238,3.0
4,489,10.0
4,575,27.0
4,646,183.0
4,669,1.0
4,708,2.0
4,722,477.0
4,757,2.0
4,787,143.0
4,805,10.0
4,808,2.0
4,845,70.0
6,27,26.0
6,48,8.0
6,66,4.0
6,88,3.0
6,136,4925.0
6,183,102.0
6,281,561.0
6,316,4.0
6,325,10.0
6,364,32.0
6,375,49.0
6,405,61.0
6,409,119.0
6,425,8.0
6,475,29.0
6,515,17.0
6,555,5.0
6,631,1.0
6,660,19.0
6,741,10.0
6,742,95.0
6,757,63.0
6,892,1.0
6,958,51.0
8,37,52.0
8,102,2.0
8,103,12.0
8,106,6.0
8,173,6.0
8,216,4.0
8,310,205.0
8,348,4.0
8,351,48.0
8,363,2.0
8,366,11.0
8,377,5.0
8,405,2.0
8,415,22.0
8,459,39.0
8,599,11.0
8,633,1.0
8,638,69.0
8,649,2.0
8,688,9.0
8,724,77.0
8,757,1.0
8,795,132.0
8,806,22.0
8,889,1770.0
8,909,4.0
8,942,6.0
8,972,28.0
9,23,33.0
9,40,109.0
9,45,5.0
9,62,74.0
9,162,31.0
9,237,4.0
9,294,187.0
9,298,10.0
9,307,36.0
9,312,41.0
9,322,18.0
9,371,4.0
9,444,4.0
9,487,475.0
9,499,7.0
9,567,16.0
9,571,3.0
9,648,23.0
9,695,7.0
9,698,1.0
9,721,10.0
9,757,1.0
9,877,192.0
9,878,90.0
9,902,2.0
9,959,103.0
15,45,5.0
15,46,2.0
15,63,1.0
15,80,2.0
15,121,6.0
15,159,7.0
15,173,1.0
15,177,1.0
15,195,6.0
15,300,6.0
15,310,1.0
15,316,12.0
15,329,28.0
15,346,1.0
15,351,19.0
15,362,1.0
15,363,2.0
15,377,1.0
15,407,2.0
15,415,12.0
15,425,1.0
15,446,2.0
15,470,11.0
15,538,23.0
15,573,16.0
15,610,2.0
15,633,1.0
15,696,1.0
15,732,2.0
15,735,1.0
15,743,5.0
15,763,1.0
15,930,2.0
15,954,1.0
15,962,5.0
15,970,20.0
15,972,2.0
16,245,57.0
16,432,33.0
16,474,117.0
16,586,2.0
16,594,125.0
16,823,155.0
16,839,35.0
16,955,9.0
18,81,2.0
18,153,2.0
18,172,15.0
18,188,29.0
18,190,7.0
18,212,11.0
18,261,3.0
18,396,7.0
18,425,2.0
18,485,5.0
18,537,1.0
18,657,2.0
18,713,3.0
18,807,15.0
20,22,1.0
20,29,19.0
20,31,6.0
20,41,18.0
20,55,9.0
20,106,21.0
20,137,4.0
20,161,3.0
20,192,7.0
20,235,1.0
20,270,5.0
20,294,1.0
20,308,7.0
20,339,4.0
20,348,43.0
20,357,1.0
20,373,24.0
20,446,36.0
20,501,201.0
20,506,8.0
20,536,2.0
20,571,15.0
20,590,2.0
20,639,7.0
20,678,3.0
20,686,14.0
20,788,4.0
20,812,1.0
20,872,9.0
20,874,4.0
20,904,4.0
20,906,21.0
20,933,5.0
20,953,3.0
20,964,8.0
20,980,4.0
22,20,2.0
22,23,4.0
22,33,17.0
22,35,2.0
22,36,22.0
22,55,9.0
22,66,42.0
22,73,1.0
22,77,5.0
22,81,210.0
22,82,4.0
22,85,4.0
22,86,5.0
22,87,2.0
22,88,6.0
22,91,24.0
22,94,3.0
22,96,2.0
22,104,3.0
22,106,9.0
22,132,9.0
22,134,14.0
22,140,6.0
22,156,16.0
22,159,1.0
22,169,7.0
22,172,3.0
22,175,1.0
22,182,3.0
22,183,13.0
22,186,89.0
22,192,2.0
22,198,6.0
22,204,26.0
22,209,51.0
22,212,10.0
22,234,21.0
22,238,30.0
22,245,81.0
22,247,41.0
22,270,4.0
22,274,8.0
22,281,15.0
22,282,4.0
22,301,17.0
22,305,2.0
22,308,11.0
22,310,1.0
22,315,9.0
22,316,171.0
22,318,5.0
22,319,2.0
22,321,18.0
22,329,2.0
22,331,1.0
22,343,5.0
22,346,1.0
22,351,4.0
22,352,3.0
22,367,3.0
22,372,23.0
22,373,41.0
22,375,8.0
22,380,4.0
22,384,18.0
22,387,5.0
22,390,5.0
22,405,127.0
22,410,50.0
22,415,3.0
22,421,6.0
22,425,23.0
22,438,4.0
22,440,6.0
22,446,4.0
22,448,6.0
22,459,3.0
22,460,25.0
22,469,6.0
22,484,2.0
22,499,10.0
22,514,3.0
22,529,7.0
22,537,22.0
22,548,1.0
22,556,2.0
22,560,52.0
22,568,9.0
22,575,2.0
22,580,3.0
22,590,2.0
22,593,4.0
22,606,5.0
22,609,11.0
22,610,9.0
22,615,4.0
22,623,2.0
22,633,4.0
22,642,4.0
22,646,4.0
22,663,9.0
22,671,2.0
22,672,8.0
22,678,2.0
22,682,7.0
22,686,3.0
22,687,4.0
22,696,8.0
22,698,12.0
22,709,1.0
22,712,3.0
22,715,6.0
22,722,5.0
22,727,1.0
22,728,16.0
22,739,6.0
22,757,393.0
22,761,7.0
22,762,50.0
22,783,4.0
22,787,6.0
22,803,5.0
22,812,217.0
22,816,9.0
22,824,24.0
22,827,10.0
22,829,2.0
22,830,6.0
22,832,14.0
22,835,3.0
22,836,26.0
22,839,2.0
22,841,3.0
22,849,5.0
22,851,21.0
22,854,3.0
22,868,2.0
22,880,14.0
22,888,4.0
22,898,8.0
22,900,16.0
22,904,16.0
22,908,13.0
22,910,39.0
22,914,4.0
22,920,3.0
22,928,3.0
22,931,10.0
22,933,1.0
22,948,5.0
22,954,3.0
22,956,14.0
22,962,1.0
22,964,15.0
22,970,113.0
22,971,2.0
22,974,2.0
23,9,33.0
23,22,3.0
23,27,15.0
23,29,101.0
23,40,20.0
23,55,4.0
23,62,64.0
23,88,13.0
23,125,1.0
23,133,9.0
23,162,1.0
23,204,40.0
23,220,7.0
23,237,249.0
23,239,1.0
23,276,4.0
23,307,60.0
23,311,3.0
23,312,258.0
23,322,36.0
23,326,12.0
23,349,295.0
23,371,44.0
23,373,13.0
23,384,4.0
23,397,7.0
23,405,3.0
23,422,28.0
23,424,128.0
23,477,14.0
23,487,33.0
23,499,13.0
23,514,88.0
23,546,14.0
23,548,4.0
23,550,2.0
23,567,4.0
23,571,45.0
23,608,1.0
23,610,9.0
23,630,21.0
23,639,4.0
23,642,7.0
23,648,667.0
23,664,2.0
23,685,156.0
23,698,7.0
23,718,19.0
23,721,148.0
23,728,10.0
23,799,7.0
23,849,47.0
23,878,9.0
23,887,37.0
23,902,26.0
23,916,3.0
23,933,13.0
23,962,1.0
23,964,5.0
23,966,3.0
25,40,8.0
25,294,34.0
25,311,14.0
25,316,4.0
25,373,2.0
25,425,3.0
25,435,3.0
25,438,9.0
25,484,9.0
25,521,12.0
25,642,37.0
25,671,2.0
25,688,2.0
25,708,202.0
25,739,26.0
25,812,10.0
25,904,8.0
25,925,4.0
25,929,3.0
25,933,38.0
25,964,14.0
25,966,185.0
27,6,13.0
27,23,23.0
27,32,8.0
27,40,664.0
27,41,1.0
27,43,22.0
27,47,4.0
27,63,25.0
27,70,163.0
27,82,5.0
27,88,16.0
27,102,155.0
27,121,205.0
27,125,20.0
27,134,11.0
27,140,2.0
27,156,152.0
27,161,248.0
27,162,63.0
27,173,8.0
27,180,49.0
27,183,10.0
27,187,1.0
27,198,39.0
27,204,804.0
27,229,13.0
27,270,18.0
27,282,45.0
27,294,314.0
27,298,7.0
27,308,11.0
27,310,54.0
27,312,2.0
27,331,28.0
27,343,1.0
27,351,5.0
27,352,12.0
27,358,3.0
27,366,5.0
27,397,6.0
27,402,6.0
27,405,3.0
27,424,5.0
27,446,21.0
27,475,5.0
27,499,682.0
27,514,89.0
27,515,3.0
27,516,59.0
27,524,36.0
27,530,6.0
27,563,88.0
27,567,29.0
27,571,23.0
27,603,18.0
27,610,48.0
27,617,11.0
27,618,134.0
27,638,63.0
27,658,69.0
27,660,453.0
27,678,5.0
27,679,10.0
27,686,56.0
27,687,27.0
27,694,1.0
27,695,76.0
27,697,3.0
27,698,97.0
27,700,18.0
27,704,39.0
27,715,46.0
27,724,8.0
27,727,96.0
27,732,18.0
27,741,1.0
27,760,6.0
27,761,13.0
27,762,6.0
27,783,2.0
27,788,5.0
27,806,75.0
27,815,13.0
27,816,78.0
27,830,303.0
27,831,646.0
27,832,294.0
27,845,7.0
27,849,2.0
27,874,61.0
27,877,241.0
27,878,8.0
27,882,24.0
27,887,9.0
27,889,154.0
27,898,21.0
27,910,28.0
27,928,3.0
27,931,1.0
27,932,14.0
27,958,4.0
29,20,10.0
29,23,141.0
29,34,29.0
29,40,697.0
29,70,83.0
29,102,8.0
29,140,33.0
29,180,4.0
29,237,545.0
29,298,40.0
29,319,42.0
29,349,57.0
29,424,82.0
29,425,6.0
29,444,50.0
29,499,10.0
29,514,401.0
29,567,6.0
29,571,524.0
29,639,8.0
29,648,312.0
29,671,299.0
29,698,157.0
29,732,1.0
29,783,1.0
29,787,14.0
29,805,5.0
29,812,2.0
29,816,188.0
29,845,220.0
29,849,51.0
29,877,73.0
29,929,3.0
29,964,12.0
31,20,8.0
31,77,70.0
31,357,3747.0
31,501,177.0
31,650,407.0
31,734,9.0
31,755,57.0
31,756,2777.0
31,757,1.0
31,847,89.0
31,953,23.0
32,3,1.0
32,27,4.0
32,33,9.0
32,37,5.0
32,45,7.0
32,46,8.0
32,48,4.0
32,63,140.0
32,80,18.0
32,82,11.0
32,88,9.0
32,118,2.0
32,121,103.0
32,159,1.0
32,177,65.0
32,182,2.0
32,183,2.0
32,281,3.0
32,282,9.0
32,297,7.0
32,301,17.0
32,308,2.0
32,316,104.0
32,325,8.0
32,331,2.0
32,346,26.0
32,351,8.0
32,352,4.0
32,367,10.0
32,392,2315.0
32,407,2.0
